nivel1,nivel2,nivel3,nivel4,monto
DIRECCION DE VIALIDAD,500 INVERSION FISICA,520 CONSTRUCCIONES,CONSTRUCCIONES,56000000000
DIRECCION DE NIÑEZ Y ADOLESCENCIA,100 SERVICIOS PERSONALES,110 REMUNERACIONES BASICAS,SUELDOS,1607440800
DIRECCION DE NIÑEZ Y ADOLESCENCIA,100 SERVICIOS PERSONALES,110 REMUNERACIONES BASICAS,GASTOS DE REPRESENTACION,27000000
DIRECCION DE NIÑEZ Y ADOLESCENCIA,100 SERVICIOS PERSONALES,110 REMUNERACIONES BASICAS,AGUINALDO,136203400
DIRECCION DE NIÑEZ Y ADOLESCENCIA,100 SERVICIOS PERSONALES,134 APORTE JUBIL. EMPLEADOR,APORTE JUBIL. EMPLEADOR,538341128
DIRECCION DE NIÑEZ Y ADOLESCENCIA,100 SERVICIOS PERSONALES,140 PERSONAL CONTRATADO,CONTRATACIÓN DE PERSONAL TÉCNICO,58500000
DIRECCION DE NIÑEZ Y ADOLESCENCIA,100 SERVICIOS PERSONALES,140 PERSONAL CONTRATADO,JORNALES,2479172540
DIRECCION DE NIÑEZ Y ADOLESCENCIA,100 SERVICIOS PERSONALES,140 PERSONAL CONTRATADO,CONTRAT. DE PERS. ADMINISTRATIVO,336240125
DIRECCION DE NIÑEZ Y ADOLESCENCIA,200 SERVICIOS NO PERSONALES,210 SERVICIOS BASICOS,SERVICIOS BASICOS,93550000
DIRECCION DE NIÑEZ Y ADOLESCENCIA,200 SERVICIOS NO PERSONALES,220 TRANSPORTE Y ALMACENAJE,TRANSPORTE Y ALMACENAJE,25000000
DIRECCION DE NIÑEZ Y ADOLESCENCIA,200 SERVICIOS NO PERSONALES,230 PASAJES Y VIATICOS,PASAJES Y VIATICOS,48800000
DIRECCION DE NIÑEZ Y ADOLESCENCIA,200 SERVICIOS NO PERSONALES,"240 GASTOS P/SERV.,ASEO, MANT. Y REP.","GASTOS P/SERV.,ASEO, MANT. Y REP.",137000000
DIRECCION DE NIÑEZ Y ADOLESCENCIA,200 SERVICIOS NO PERSONALES,250 ALQUILERES Y DERECHOS,ALQUILERES Y DERECHOS,150000000
DIRECCION DE NIÑEZ Y ADOLESCENCIA,200 SERVICIOS NO PERSONALES,260 SERVICIOS TECNICOS Y PROFESIONALES,SERVICIOS TECNICOS Y PROFESIONALES,70250000
DIRECCION DE NIÑEZ Y ADOLESCENCIA,200 SERVICIOS NO PERSONALES,270 SERVICIO SOCIAL,SERVICIO SOCIAL,40000000
DIRECCION DE NIÑEZ Y ADOLESCENCIA,200 SERVICIOS NO PERSONALES,280 OTROS SERVICIOS EN GENERAL,OTROS SERVICIOS EN GENERAL,666000000
DIRECCION DE NIÑEZ Y ADOLESCENCIA,300 BIENES DE CONSUMO E INSUMOS,310 PRODUCTOS ALIMENTICIOS,PRODUCTOS ALIMENTICIOS,1000000000
DIRECCION DE NIÑEZ Y ADOLESCENCIA,300 BIENES DE CONSUMO E INSUMOS,320 TEXTILES Y VESTUARIOS,TEXTILES Y VESTUARIOS,71378400
DIRECCION DE NIÑEZ Y ADOLESCENCIA,300 BIENES DE CONSUMO E INSUMOS,"330 PRODUC.PAPEL, CARTON E IMPRESOS","PRODUC.PAPEL, CARTON E IMPRESOS",58022100
DIRECCION DE NIÑEZ Y ADOLESCENCIA,300 BIENES DE CONSUMO E INSUMOS,340 BIENES DE CONSUMO OFIC.E INSUMOS,BIENES DE CONSUMO OFIC.E INSUMOS,87703285
DIRECCION DE NIÑEZ Y ADOLESCENCIA,300 BIENES DE CONSUMO E INSUMOS,350 PROD. E INST. QUIMICOS Y MEDICINALES,PROD. E INST. QUIMICOS Y MEDICINALES,78655500
DIRECCION DE NIÑEZ Y ADOLESCENCIA,300 BIENES DE CONSUMO E INSUMOS,390 OTROS BIENES DE CONSUMO,OTROS BIENES DE CONSUMO,35307030
DIRECCION DE NIÑEZ Y ADOLESCENCIA,500 INVERSION FISICA,520 CONSTRUCCIONES,CONSTRUCCIONES,150000000
DIRECCION DE NIÑEZ Y ADOLESCENCIA,500 INVERSION FISICA,530 ADQ. DE MAQ. EQ. Y HERRAM. EN GENERAL,ADQ. DE MAQ. EQ. Y HERRAM. EN GENERAL,75735600
DIRECCION DE NIÑEZ Y ADOLESCENCIA,500 INVERSION FISICA,540 ADQ. DE EQ. OFIC. Y COMP.,ADQ. DE EQ. OFIC. Y COMP.,74500000
DIRECCION DE NIÑEZ Y ADOLESCENCIA,800 TRANSFERENCIAS,840 TRANSF. CORR. AL SECTOR PRIVADO,APORTES ENT.EDUC. E INST. S/FINES DE L.,30000000
DIRECCION DE LA POLICIA MUNICIPAL,100 SERVICIOS PERSONALES,110 REMUNERACIONES BASICAS,SUELDOS,904141320
DIRECCION DE LA POLICIA MUNICIPAL,100 SERVICIOS PERSONALES,110 REMUNERACIONES BASICAS,GASTOS DE REPRESENTACION,27000000
DIRECCION DE LA POLICIA MUNICIPAL,100 SERVICIOS PERSONALES,110 REMUNERACIONES BASICAS,AGUINALDO,77595110
DIRECCION DE LA POLICIA MUNICIPAL,100 SERVICIOS PERSONALES,130 ASIGNACIONES COMPLEMENTARIAS,APORTE JUBIL. EMPLEADOR,185114423
DIRECCION DE LA POLICIA MUNICIPAL,100 SERVICIOS PERSONALES,140 PERSONAL CONTRATADO,JORNALES,621769590
DIRECCION DE LA POLICIA MUNICIPAL,100 SERVICIOS PERSONALES,140 PERSONAL CONTRATADO,CONTRAT. DE PERS. ADMINISTRATIVO,26000000
DIRECCION DE LA POLICIA MUNICIPAL,200 SERVICIOS NO PERSONALES,230 PASAJES Y VIATICOS,PASAJES Y VIATICOS,7452000
DIRECCION DE LA POLICIA MUNICIPAL,200 SERVICIOS NO PERSONALES,"240 GASTOS P/SERV.,ASEO, MANT. Y REP.","GASTOS P/SERV.,ASEO, MANT. Y REP.",12000000
DIRECCION DE LA POLICIA MUNICIPAL,200 SERVICIOS NO PERSONALES,260 SERVICIOS TECNICOS Y PROFESIONALES,SERVICIOS TECNICOS Y PROFESIONALES,26400000
DIRECCION DE LA POLICIA MUNICIPAL,200 SERVICIOS NO PERSONALES,280 OTROS SERVICIOS EN GENERAL,OTROS SERVICIOS EN GENERAL,15000000
DIRECCION DE LA POLICIA MUNICIPAL,300 BIENES DE CONSUMO E INSUMOS,320 TEXTILES Y VESTUARIOS,TEXTILES Y VESTUARIOS,93640000
DIRECCION DE LA POLICIA MUNICIPAL,300 BIENES DE CONSUMO E INSUMOS,"330 PRODUC.PAPEL, CARTON E IMPRESOS","PRODUC.PAPEL, CARTON E IMPRESOS",6561000
DIRECCION DE LA POLICIA MUNICIPAL,300 BIENES DE CONSUMO E INSUMOS,340 BIENES DE CONSUMO OFIC.E INSUMOS,BIENES DE CONSUMO OFIC.E INSUMOS,25577000
DIRECCION DE LA POLICIA MUNICIPAL,300 BIENES DE CONSUMO E INSUMOS,350 PROD. E INST. QUIMICOS Y MEDICINALES,PROD. E INST. QUIMICOS Y MEDICINALES,1250000
DIRECCION DE LA POLICIA MUNICIPAL,300 BIENES DE CONSUMO E INSUMOS,390 OTROS BIENES DE CONSUMO,OTROS BIENES DE CONSUMO,91895000
DIRECCION DE LA POLICIA MUNICIPAL,500 INVERSION FISICA,530 ADQ. DE MAQ. EQ. Y HERRAM. EN GENERAL,ADQ. DE MAQ. EQ. Y HERRAM. EN GENERAL,150000000
DIRECCION DE LA POLICIA MUNICIPAL,500 INVERSION FISICA,540 ADQ. DE EQ. OFIC. Y COMP.,ADQ. DE EQ. OFIC. Y COMP.,71400000
DIRECCION DE INSTRUCCIÓN,100 SERVICIOS PERSONALES,110 REMUNERACIONES BASICAS,SUELDOS,234682080
DIRECCION DE INSTRUCCIÓN,100 SERVICIOS PERSONALES,110 REMUNERACIONES BASICAS,GASTOS DE REPRESENTACION,27000000
DIRECCION DE INSTRUCCIÓN,100 SERVICIOS PERSONALES,110 REMUNERACIONES BASICAS,AGUINALDO,21806840
DIRECCION DE INSTRUCCIÓN,100 SERVICIOS PERSONALES,130 ASIGNACIONES COMPLEMENTARIAS,APORTE JUBIL. EMPLEADOR,38578257
DIRECCION DE INSTRUCCIÓN,100 SERVICIOS PERSONALES,140 PERSONAL CONTRATADO,JORNALES,99207394
DIRECCION DE INSTRUCCIÓN,100 SERVICIOS PERSONALES,140 PERSONAL CONTRATADO,CONTRAT. DE PERS. ADMINISTRATIVO,26000000
DIRECCION DE INSTRUCCIÓN,200 SERVICIOS NO PERSONALES,230 PASAJES Y VIATICOS,PASAJES Y VIATICOS,5000000
DIRECCION DE INSTRUCCIÓN,200 SERVICIOS NO PERSONALES,"240 GASTOS P/SERV.,ASEO, MANT. Y REP.","GASTOS P/SERV.,ASEO, MANT. Y REP.",25000000
DIRECCION DE INSTRUCCIÓN,200 SERVICIOS NO PERSONALES,260 SERVICIOS TECNICOS Y PROFESIONALES,SERVICIOS TECNICOS Y PROFESIONALES,59500000
DIRECCION DE INSTRUCCIÓN,200 SERVICIOS NO PERSONALES,280 OTROS SERVICIOS EN GENERAL,OTROS SERVICIOS EN GENERAL,26000000
DIRECCION DE INSTRUCCIÓN,300 BIENES DE CONSUMO E INSUMOS,320 TEXTILES Y VESTUARIOS,TEXTILES Y VESTUARIOS,95880000
DIRECCION DE INSTRUCCIÓN,300 BIENES DE CONSUMO E INSUMOS,"330 PRODUC.PAPEL, CARTON E IMPRESOS","PRODUC.PAPEL, CARTON E IMPRESOS",9492500
DIRECCION DE INSTRUCCIÓN,300 BIENES DE CONSUMO E INSUMOS,340 BIENES DE CONSUMO OFIC.E INSUMOS,BIENES DE CONSUMO OFIC.E INSUMOS,28610100
DIRECCION DE INSTRUCCIÓN,500 INVERSION FISICA,530 ADQ. DE MAQ. EQ. Y HERRAM. EN GENERAL,ADQ. DE MAQ. EQ. Y HERRAM. EN GENERAL,44050000
DIRECCION DE INSTRUCCIÓN,500 INVERSION FISICA,540 ADQ. DE EQ. OFIC. Y COMP.,ADQ. DE EQ. OFIC. Y COMP.,49000000
DIRECCION DE HACIENDA,700 SERVICIO DE LA DEUDA PUBLICA,710 INTERESES DE LA DEUDA PÚB. INTERNA,INTERESES POR DEUDA BONIFICADA,14899715757
DIRECCION DE HACIENDA,700 SERVICIO DE LA DEUDA PUBLICA,730 AMORTIZ. DEUDA PÚBLICA INTERNA,AMORTIZ. POR DEUDA BONIF.,10875000000
DIRECCION DE HACIENDA,700 SERVICIO DE LA DEUDA PUBLICA,750 COMISIONES,COM. Y OTROS GASTOS DEUDA INT. BONIF.,83000000
DIRECCION DE DE POLITICAS DE GENERO,100 SERVICIOS PERSONALES,110 REMUNERACIONES BASICAS,SUELDOS,686770560
DIRECCION DE DE POLITICAS DE GENERO,100 SERVICIOS PERSONALES,110 REMUNERACIONES BASICAS,GASTOS DE REPRESENTACION,27000000
DIRECCION DE DE POLITICAS DE GENERO,100 SERVICIOS PERSONALES,110 REMUNERACIONES BASICAS,AGUINALDO,59480880
DIRECCION DE DE POLITICAS DE GENERO,100 SERVICIOS PERSONALES,130 ASIGNACIONES COMPLEMENTARIAS,APORTE JUBIL. EMPLEADOR,102887626
DIRECCION DE DE POLITICAS DE GENERO,100 SERVICIOS PERSONALES,140 PERSONAL CONTRATADO,JORNALES,224614858
DIRECCION DE DE POLITICAS DE GENERO,100 SERVICIOS PERSONALES,140 PERSONAL CONTRATADO,CONTRAT. DE PERS. ADMINISTRATIVO,173212715
DIRECCION DE DE POLITICAS DE GENERO,200 SERVICIOS NO PERSONALES,230 PASAJES Y VIATICOS,PASAJES Y VIATICOS,27411200
DIRECCION DE DE POLITICAS DE GENERO,200 SERVICIOS NO PERSONALES,"240 GASTOS P/SERV.,ASEO, MANT. Y REP.","GASTOS P/SERV.,ASEO, MANT. Y REP.",40000000
DIRECCION DE DE POLITICAS DE GENERO,200 SERVICIOS NO PERSONALES,250 ALQUILERES Y DERECHOS,ALQUILERES Y DERECHOS,34000000
DIRECCION DE DE POLITICAS DE GENERO,200 SERVICIOS NO PERSONALES,260 SERVICIOS TECNICOS Y PROFESIONALES,SERVICIOS TECNICOS Y PROFESIONALES,41525100
DIRECCION DE DE POLITICAS DE GENERO,200 SERVICIOS NO PERSONALES,280 OTROS SERVICIOS EN GENERAL,OTROS SERVICIOS EN GENERAL,22012454
DIRECCION DE DE POLITICAS DE GENERO,300 BIENES DE CONSUMO E INSUMOS,310 PRODUCTOS ALIMENTICIOS,PRODUCTOS ALIMENTICIOS,32179275
DIRECCION DE DE POLITICAS DE GENERO,300 BIENES DE CONSUMO E INSUMOS,320 TEXTILES Y VESTUARIOS,TEXTILES Y VESTUARIOS,10000000
DIRECCION DE DE POLITICAS DE GENERO,300 BIENES DE CONSUMO E INSUMOS,"330 PRODUC.PAPEL, CARTON E IMPRESOS","PRODUC.PAPEL, CARTON E IMPRESOS",9075500
DIRECCION DE DE POLITICAS DE GENERO,300 BIENES DE CONSUMO E INSUMOS,340 BIENES DE CONSUMO OFIC.E INSUMOS,BIENES DE CONSUMO OFIC.E INSUMOS,21938700
DIRECCION DE DE POLITICAS DE GENERO,500 INVERSION FISICA,530 ADQ. DE MAQ. EQ. Y HERRAM. EN GENERAL,ADQ. DE MAQ. EQ. Y HERRAM. EN GENERAL,3000000
DIRECCION DE DE POLITICAS DE GENERO,500 INVERSION FISICA,540 ADQ. DE EQ. OFIC. Y COMP.,ADQ. DE EQ. OFIC. Y COMP.,70000000
DIRECCION DE CONTRALORIA INTERNA,100 SERVICIOS PERSONALES,110 REMUNERACIONES BASICAS,SUELDOS,879805320
DIRECCION DE CONTRALORIA INTERNA,100 SERVICIOS PERSONALES,110 REMUNERACIONES BASICAS,GASTOS DE REPRESENTACION,27000000
DIRECCION DE CONTRALORIA INTERNA,100 SERVICIOS PERSONALES,110 REMUNERACIONES BASICAS,AGUINALDO,75567110
DIRECCION DE CONTRALORIA INTERNA,100 SERVICIOS PERSONALES,130 ASIGNACIONES COMPLEMENTARIAS,APORTE JUBIL. EMPLEADOR,108087178
DIRECCION DE CONTRALORIA INTERNA,100 SERVICIOS PERSONALES,140 PERSONAL CONTRATADO,JORNALES,132013336
DIRECCION DE CONTRALORIA INTERNA,100 SERVICIOS PERSONALES,140 PERSONAL CONTRATADO,HONORARIOS PROFESIONALES,109200000
DIRECCION DE CONTRALORIA INTERNA,100 SERVICIOS PERSONALES,140 PERSONAL CONTRATADO,CONTRAT. DE PERS. ADMINISTRATIVO,23712715
DIRECCION DE CONTRALORIA INTERNA,200 SERVICIOS NO PERSONALES,230 PASAJES Y VIATICOS,PASAJES Y VIATICOS,15000000
DIRECCION DE CONTRALORIA INTERNA,200 SERVICIOS NO PERSONALES,260 SERVICIOS TECNICOS Y PROFESIONALES,SERVICIOS TECNICOS Y PROFESIONALES,20000000
DIRECCION DE CONTRALORIA INTERNA,200 SERVICIOS NO PERSONALES,280 OTROS SERVICIOS EN GENERAL,OTROS SERVICIOS EN GENERAL,1525000
DIRECCION DE CONTRALORIA INTERNA,300 BIENES DE CONSUMO E INSUMOS,320 TEXTILES Y VESTUARIOS,TEXTILES Y VESTUARIOS,43344000
DIRECCION DE CONTRALORIA INTERNA,300 BIENES DE CONSUMO E INSUMOS,"330 PRODUC.PAPEL, CARTON E IMPRESOS","PRODUC.PAPEL, CARTON E IMPRESOS",42351870
DIRECCION DE CONTRALORIA INTERNA,300 BIENES DE CONSUMO E INSUMOS,340 BIENES DE CONSUMO OFIC.E INSUMOS,BIENES DE CONSUMO OFIC.E INSUMOS,21884600
DIRECCION DE CONTRALORIA INTERNA,300 BIENES DE CONSUMO E INSUMOS,350 PROD. E INST. QUIMICOS Y MEDICINALES,PROD. E INST. QUIMICOS Y MEDICINALES,770
DIRECCION DE CONTRALORIA INTERNA,300 BIENES DE CONSUMO E INSUMOS,390 OTROS BIENES DE CONSUMO,OTROS BIENES DE CONSUMO,4518192
DIRECCION DE CONTRALORIA INTERNA,500 INVERSION FISICA,540 ADQ. DE EQ. OFIC. Y COMP.,ADQ. DE EQ. OFIC. Y COMP.,11500000
DIRECC. PROMOCION DE LA PARTICIPACION CIUDADANA,100 SERVICIOS PERSONALES,140 PERSONAL CONTRATADO,HONORARIOS PROFESIONALES,841500000
DIRECC. PROMOCION DE LA PARTICIPACION CIUDADANA,800 TRANSFERENCIAS,840 TRANSF. CORR. AL SECTOR PRIVADO,APORTES ENT.EDUC. E INST. S/FINES DE L.,4207500000
DIRECC. PROMOCION DE LA PARTICIPACION CIUDADANA,800 TRANSFERENCIAS,870 TRANSF. DE CAPITAL AL SECTOR PRIV.,APORTES Y SUB. A ENT. EDUC. E INST. PRIV. S/ FINES DE LUCRO,11781000000
DIRECC. GRAL. REDUCCION DE RIESGOS DE DESASTRE,100 SERVICIOS PERSONALES,110 REMUNERACIONES BASICAS,SUELDOS,1008900000
DIRECC. GRAL. REDUCCION DE RIESGOS DE DESASTRE,100 SERVICIOS PERSONALES,110 REMUNERACIONES BASICAS,GASTOS DE REPRESENTACION,27000000
DIRECC. GRAL. REDUCCION DE RIESGOS DE DESASTRE,100 SERVICIOS PERSONALES,110 REMUNERACIONES BASICAS,AGUINALDO,86325000
DIRECC. GRAL. REDUCCION DE RIESGOS DE DESASTRE,100 SERVICIOS PERSONALES,130 ASIGNACIONES COMPLEMENTARIAS,APORTE JUBIL. EMPLEADOR,229025044
DIRECC. GRAL. REDUCCION DE RIESGOS DE DESASTRE,100 SERVICIOS PERSONALES,140 PERSONAL CONTRATADO,JORNALES,849624032
DIRECC. GRAL. REDUCCION DE RIESGOS DE DESASTRE,100 SERVICIOS PERSONALES,140 PERSONAL CONTRATADO,CONTRAT. DE PERS. ADMINISTRATIVO,1533870455
DIRECC. GRAL. REDUCCION DE RIESGOS DE DESASTRE,200 SERVICIOS NO PERSONALES,250 ALQUILERES Y DERECHOS,ALQUILERES Y DERECHOS,91080000
DIRECC. GRAL. REDUCCION DE RIESGOS DE DESASTRE,200 SERVICIOS NO PERSONALES,260 SERVICIOS TECNICOS Y PROFESIONALES,SERVICIOS TECNICOS Y PROFESIONALES,30000000
DIRECC. GRAL. REDUCCION DE RIESGOS DE DESASTRE,200 SERVICIOS NO PERSONALES,280 OTROS SERVICIOS EN GENERAL,OTROS SERVICIOS EN GENERAL,15000000
DIRECC. GRAL. REDUCCION DE RIESGOS DE DESASTRE,300 BIENES DE CONSUMO E INSUMOS,320 TEXTILES Y VESTUARIOS,TEXTILES Y VESTUARIOS,53310000
DIRECC. GRAL. REDUCCION DE RIESGOS DE DESASTRE,300 BIENES DE CONSUMO E INSUMOS,"330 PRODUC.PAPEL, CARTON E IMPRESOS","PRODUC.PAPEL, CARTON E IMPRESOS",30000000
DIRECC. GRAL. REDUCCION DE RIESGOS DE DESASTRE,300 BIENES DE CONSUMO E INSUMOS,340 BIENES DE CONSUMO OFIC.E INSUMOS,BIENES DE CONSUMO OFIC.E INSUMOS,34500000
DIRECC. GRAL. REDUCCION DE RIESGOS DE DESASTRE,300 BIENES DE CONSUMO E INSUMOS,390 OTROS BIENES DE CONSUMO,OTROS BIENES DE CONSUMO,40000000
DIRECC. GRAL. REDUCCION DE RIESGOS DE DESASTRE,500 INVERSION FISICA,530 ADQ. DE MAQ. EQ. Y HERRAM. EN GENERAL,ADQ. DE MAQ. EQ. Y HERRAM. EN GENERAL,50000000
DIRECC. GRAL. REDUCCION DE RIESGOS DE DESASTRE,500 INVERSION FISICA,540 ADQ. DE EQ. OFIC. Y COMP.,ADQ. DE EQ. OFIC. Y COMP.,42060000
DIRECC. GRAL. REDUCCION DE RIESGOS DE DESASTRE,800 TRANSFERENCIAS,830 OTRAS TRANSF. CORR. AL S. PUB. O PRIV.,APORTES A ENT.C/FINES SOC. O EMERG.NAC.,12000000000
DIRECC. GRAL. DESARROLLO URBANO,500 INVERSION FISICA,520 CONSTRUCCIONES,CONSTRUCCIONES,15000000000
DIRECC. GRAL. DESARROLLO URBANO,500 INVERSION FISICA,520 CONSTRUCCIONES,CONSTRUCCIONES,1255000000
DIRECC. GRAL. DESARROLLO URBANO,500 INVERSION FISICA,520 CONSTRUCCIONES,CONSTRUCCIONES,5745000000
DIRECC. GRAL. DEL AREA SOCIAL,100 SERVICIOS PERSONALES,110 REMUNERACIONES BASICAS,SUELDOS,940460040
DIRECC. GRAL. DEL AREA SOCIAL,100 SERVICIOS PERSONALES,110 REMUNERACIONES BASICAS,GASTOS DE REPRESENTACION,36000000
DIRECC. GRAL. DEL AREA SOCIAL,100 SERVICIOS PERSONALES,110 REMUNERACIONES BASICAS,AGUINALDO,81371670
DIRECC. GRAL. DEL AREA SOCIAL,100 SERVICIOS PERSONALES,130 ASIGNACIONES COMPLEMENTARIAS,APORTE JUBIL. EMPLEADOR,116939520
DIRECC. GRAL. DEL AREA SOCIAL,100 SERVICIOS PERSONALES,140 PERSONAL CONTRATADO,JORNALES,150310966
DIRECC. GRAL. DEL AREA SOCIAL,100 SERVICIOS PERSONALES,140 PERSONAL CONTRATADO,HONORARIOS PROFESIONALES,150000000
DIRECC. GRAL. DEL AREA SOCIAL,100 SERVICIOS PERSONALES,140 PERSONAL CONTRATADO,CONTRAT. DE PERS. ADMINISTRATIVO,350638145
DIRECC. GRAL. DEL AREA SOCIAL,200 SERVICIOS NO PERSONALES,210 SERVICIOS BASICOS,SERVICIOS BASICOS,6240000
DIRECC. GRAL. DEL AREA SOCIAL,200 SERVICIOS NO PERSONALES,230 PASAJES Y VIATICOS,PASAJES Y VIATICOS,35250000
DIRECC. GRAL. DEL AREA SOCIAL,200 SERVICIOS NO PERSONALES,"240 GASTOS P/SERV.,ASEO, MANT. Y REP.","GASTOS P/SERV.,ASEO, MANT. Y REP.",11200000
DIRECC. GRAL. DEL AREA SOCIAL,200 SERVICIOS NO PERSONALES,250 ALQUILERES Y DERECHOS,ALQUILERES Y DERECHOS,87600000
DIRECC. GRAL. DEL AREA SOCIAL,200 SERVICIOS NO PERSONALES,260 SERVICIOS TECNICOS Y PROFESIONALES,SERVICIOS TECNICOS Y PROFESIONALES,294102000
DIRECC. GRAL. DEL AREA SOCIAL,200 SERVICIOS NO PERSONALES,280 OTROS SERVICIOS EN GENERAL,OTROS SERVICIOS EN GENERAL,223000000
DIRECC. GRAL. DEL AREA SOCIAL,300 BIENES DE CONSUMO E INSUMOS,310 PRODUCTOS ALIMENTICIOS,PRODUCTOS ALIMENTICIOS,1830000000
DIRECC. GRAL. DEL AREA SOCIAL,300 BIENES DE CONSUMO E INSUMOS,320 TEXTILES Y VESTUARIOS,TEXTILES Y VESTUARIOS,7200000
DIRECC. GRAL. DEL AREA SOCIAL,300 BIENES DE CONSUMO E INSUMOS,"330 PRODUC.PAPEL, CARTON E IMPRESOS","PRODUC.PAPEL, CARTON E IMPRESOS",35604200
DIRECC. GRAL. DEL AREA SOCIAL,300 BIENES DE CONSUMO E INSUMOS,340 BIENES DE CONSUMO OFIC.E INSUMOS,BIENES DE CONSUMO OFIC.E INSUMOS,39589000
DIRECC. GRAL. DEL AREA SOCIAL,300 BIENES DE CONSUMO E INSUMOS,350 PROD. E INST. QUIMICOS Y MEDICINALES,PROD. E INST. QUIMICOS Y MEDICINALES,2322000
DIRECC. GRAL. DEL AREA SOCIAL,300 BIENES DE CONSUMO E INSUMOS,390 OTROS BIENES DE CONSUMO,OTROS BIENES DE CONSUMO,3714000
DIRECC. GRAL. DEL AREA SOCIAL,500 INVERSION FISICA,520 CONSTRUCCIONES,CONSTRUCCIONES,500000000
DIRECC. GRAL. DEL AREA SOCIAL,500 INVERSION FISICA,530 ADQ. DE MAQ. EQ. Y HERRAM. EN GENERAL,ADQ. DE MAQ. EQ. Y HERRAM. EN GENERAL,221000000
DIRECC. GRAL. DEL AREA SOCIAL,500 INVERSION FISICA,540 ADQ. DE EQ. OFIC. Y COMP.,ADQ. DE EQ. OFIC. Y COMP.,70000000
DIRECC. GRAL. DE OBRAS,200 SERVICIOS NO PERSONALES,"240 GASTOS P/SERV.,ASEO, MANT. Y REP.","GASTOS P/SERV.,ASEO, MANT. Y REP.",3000000000
DIRECC. GRAL. DE OBRAS,200 SERVICIOS NO PERSONALES,260 SERVICIOS TECNICOS Y PROFESIONALES,SERVICIOS TECNICOS Y PROFESIONALES,1000000000
DIRECC. GRAL. DE OBRAS,500 INVERSION FISICA,520 CONSTRUCCIONES,CONSTRUCCIONES,85000000000
DIRECC. GRAL. DE OBRAS,500 INVERSION FISICA,520 CONSTRUCCIONES,CONSTRUCCIONES,10758760606
DIRECC. GRAL. DE OBRAS,500 INVERSION FISICA,520 CONSTRUCCIONES,CONSTRUCCIONES,23603991500
DIRECC. GRAL. DE LA POLICIA MUNICIPAL,100 SERVICIOS PERSONALES,110 REMUNERACIONES BASICAS,SUELDOS,60903360
DIRECC. GRAL. DE LA POLICIA MUNICIPAL,100 SERVICIOS PERSONALES,110 REMUNERACIONES BASICAS,GASTOS DE REPRESENTACION,36000000
DIRECC. GRAL. DE LA POLICIA MUNICIPAL,100 SERVICIOS PERSONALES,110 REMUNERACIONES BASICAS,AGUINALDO,8075280
DIRECC. GRAL. DE LA POLICIA MUNICIPAL,100 SERVICIOS PERSONALES,130 ASIGNACIONES COMPLEMENTARIAS,APORTE JUBIL. EMPLEADOR,10954681
DIRECC. GRAL. DE LA POLICIA MUNICIPAL,100 SERVICIOS PERSONALES,140 PERSONAL CONTRATADO,JORNALES,31937620
DIRECC. GRAL. DE LA POLICIA MUNICIPAL,100 SERVICIOS PERSONALES,140 PERSONAL CONTRATADO,HONORARIOS PROFESIONALES,175500000
DIRECC. GRAL. DE LA POLICIA MUNICIPAL,200 SERVICIOS NO PERSONALES,230 PASAJES Y VIATICOS,PASAJES Y VIATICOS,14000000
DIRECC. GRAL. DE LA POLICIA MUNICIPAL,200 SERVICIOS NO PERSONALES,"240 GASTOS P/SERV.,ASEO, MANT. Y REP.","GASTOS P/SERV.,ASEO, MANT. Y REP.",30000000
DIRECC. GRAL. DE LA POLICIA MUNICIPAL,200 SERVICIOS NO PERSONALES,260 SERVICIOS TECNICOS Y PROFESIONALES,SERVICIOS TECNICOS Y PROFESIONALES,64000000
DIRECC. GRAL. DE LA POLICIA MUNICIPAL,200 SERVICIOS NO PERSONALES,280 OTROS SERVICIOS EN GENERAL,OTROS SERVICIOS EN GENERAL,40000000
DIRECC. GRAL. DE LA POLICIA MUNICIPAL,300 BIENES DE CONSUMO E INSUMOS,320 TEXTILES Y VESTUARIOS,TEXTILES Y VESTUARIOS,99964800
DIRECC. GRAL. DE LA POLICIA MUNICIPAL,300 BIENES DE CONSUMO E INSUMOS,"330 PRODUC.PAPEL, CARTON E IMPRESOS","PRODUC.PAPEL, CARTON E IMPRESOS",45775000
DIRECC. GRAL. DE LA POLICIA MUNICIPAL,300 BIENES DE CONSUMO E INSUMOS,340 BIENES DE CONSUMO OFIC.E INSUMOS,BIENES DE CONSUMO OFIC.E INSUMOS,38025000
DIRECC. GRAL. DE LA POLICIA MUNICIPAL,300 BIENES DE CONSUMO E INSUMOS,350 PROD. E INST. QUIMICOS Y MEDICINALES,PROD. E INST. QUIMICOS Y MEDICINALES,15000000
DIRECC. GRAL. DE LA POLICIA MUNICIPAL,500 INVERSION FISICA,530 ADQ. DE MAQ. EQ. Y HERRAM. EN GENERAL,ADQ. DE MAQ. EQ. Y HERRAM. EN GENERAL,1000000000
DIRECC. GRAL. DE LA POLICIA MUNICIPAL,500 INVERSION FISICA,550 ADQ. DE EQ. MILITAR Y DE SEGURIDAD,ADQ. DE EQ. MILITAR Y DE SEGURIDAD,120000000
DIRECC. GRAL. DE GESTION AMBIENTAL,100 SERVICIOS PERSONALES,110 REMUNERACIONES BASICAS,SUELDOS,2190835080
